date_match,log_total,log_in_year,log_out_year,log_short_term,log_medium_term,log_long_term,total_resc,in_year_resc,out_year_resc,short_term_resc,medium_term_resc,long_term_resc,r3m,r6m,r1y,r3y,r5y,r10y,r15y
2010-04,-0.8163359337234114,-0.8682045901331958,-0.8452789705435829,-0.8682045901331958,-0.8871999322140864,-0.8296014421866479,0.44204838537417435,0.4197044146416112,0.4294375410745219,0.4197044146416112,0.4118072280488359,0.43622311180905776,4.88,4.85,4.85,5.5,6.04,6.62,6.66
2010-05,-0.7225440142662037,-0.8460003244923138,-0.7284182399382804,-0.8460003244923138,-0.7997464532403008,-0.6981001014221977,0.485515525074222,0.4291278763109124,0.48267185766178367,0.4291278763109124,0.449442904464105,0.49752966231248175,5,4.95,5.05,6.19,6.73,7.23,7.25
2010-06,-0.6269657255393418,-0.7738283601829958,-0.62605992573424,-0.7738283601829958,-0.6790423312134701,-0.6056741752822533,0.5342102849271029,0.46124387622938284,0.5346943917178919,0.46124387622938284,0.507102396036778,0.5457064008298897,5.35,5.35,5.48,7.13,7.43,7.69,7.62
2010-07,-0.6556968567595751,-0.7400456543006256,-0.6745370595862183,-0.7400456543006256,-0.6755813771281641,-0.6821414511600574,0.5190802119681948,0.47709213371612286,0.5093921842596355,0.47709213371612286,0.5088604947405506,0.505533257616252,5.55,5.52,5.65,7.01,7.16,7.24,7.15
2010-08,-0.6158973644779058,-0.7373713061586098,-0.6228637299454264,-0.7373713061586098,-0.6504514380392155,-0.6160208999374321,0.5401559609885213,0.4783697518138148,0.536406113723137,0.4783697518138148,0.5218101586266701,0.5400892366951576,5.52,5.58,5.6,7.36,7.45,7.62,7.52
2010-09,-0.7186501873812315,-0.7600224977945367,-0.751924613448962,-0.7600224977945367,-0.7180279461598438,-0.7791418520846226,0.4874097239267342,0.46765590566507664,0.47145830401498257,0.46765590566507664,0.4877131047268978,0.4587995603056974,5.35,5.5,5.73,6.44,6.53,6.79,6.76
2010-10,-0.6895463851647584,-0.7646033106680026,-0.7114412690849198,-0.7646033106680026,-0.700813180698052,-0.7252453699889724,0.5018036430235454,0.46551856059842733,0.4909361162687226,0.46551856059842733,0.4961816543496407,0.4842057448197534,5.35,5.45,5.77,6.6,6.81,7.03,7.02
2010-11,-0.5035271046215377,-0.6944623641383256,-0.4900552143487472,-0.6944623641383256,-0.5457942264283484,-0.46850241946648385,0.6043951309502544,0.4993428404482598,0.6125925693508525,0.4993428404482598,0.579381440503679,0.6259389607242039,5.69,5.9,6.26,8.08,8.34,8.44,8.43
2010-12,-0.5435792028299111,-0.6674151053665919,-0.5500504483113978,-0.6674151053665919,-0.5677226514049073,-0.5485343421972597,0.5806662064350291,0.5130330015536279,0.5769207049709573,0.5130330015536279,0.5668148048737163,0.5777960413628954,5.76,6.15,6.33,7.72,7.85,7.95,7.94
2011-01,-0.6358918251860001,-0.7021613270755159,-0.6606590738139856,-0.7021613270755159,-0.6650982972776126,-0.6660679522513571,0.5294630891821653,0.4955131795519496,0.516510803541255,0.4955131795519496,0.5142229785033754,0.5137246013006718,5.8,5.7,5.93,6.87,7.11,7.32,7.33
2011-02,-0.6423026012338473,-0.679110954784842,-0.677011304375924,-0.679110954784842,-0.6807696572368402,-0.6827072738183161,0.5260796766295235,0.5070675980533054,0.5081333812374113,0.5070675980533054,0.5062272209455471,0.5052472963538995,5.88,5.89,5.87,6.74,6.98,7.25,7.26
2011-03,-0.6515382423086402,-0.6833444588351072,-0.6879841389483807,-0.6833444588351072,-0.6908755331238027,-0.6941361667069825,0.5212433611731807,0.5049254628915075,0.5025881965395385,0.5049254628915075,0.5011371147910256,0.499505751369291,5.85,5.87,5.85,6.64,6.94,7.19,7.19
2011-04,-0.6731864977580639,-0.6850390766902072,-0.7167352532571664,-0.6850390766902072,-0.7039026894908187,-0.7316703354445424,0.5100806146785369,0.5040705317819527,0.4883439756692642,0.5040705317819527,0.49465106237187106,0.4811047123168431,5.85,5.85,5.88,6.46,6.76,7,7
2011-05,-0.6463690062467207,-0.674898444727102,-0.68399217133286,-0.674898444727102,-0.6862108718250279,-0.6904872778309752,0.5239447672402696,0.5092081307524662,0.5045985222519583,0.5092081307524662,0.50348021032066,0.501331721704413,5.9,5.92,5.95,6.6,6.98,7.19,7.21
